,Name,Rating,Reviews,Type,Head Quarter,Old,Employees
2687,Tradebulls,3.0,(192 Reviews),Private,"Mumbai,Maharashtra + 14 more",13 years old,11-50 Employees (India)
2688,Cheil India,3.4,(192 Reviews),Private,Gurugram + 14 more,19 years old,201-500 Employees (India)
2689,Novac Technology...,3.9,(192 Reviews),Private,"Chennai,Tamil Nadu + 12 more",16 years old,1k-5k Employees (India)
2690,Patil Group,3.9,(192 Reviews),Hyderabad + 29 more,89 years old,11-50 Employees (India),
2691,Larsen & Toubro ...,4.0,(32.4k Reviews),Chennai + 47 more,1 Lakh+ Employees (India),,
2692,Molecular Connec...,3.5,(191 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 16 more",21 years old,1k-5k Employees (India)
2693,Sundaram Auto Co...,4.1,(191 Reviews),Public,"Bhiwadi,Rajasthan + 12 more",42 years old,501-1k Employees (India)
2694,Zydex Industries,4.0,(191 Reviews),Private,"Vadodara/Baroda,Gujrat + 42 more",25 years old,501-1k Employees (India)
2695,S Chand Group,4.1,(191 Reviews),Public,New Delhi + 28 more,83 years old,1k-5k Employees (India)
2696,GMR Energy,4.5,(191 Reviews),Public,"Delhi,NCT + 22 more",26 years old,1k-5k Employees (India)
2697,Doubtnut,3.3,(191 Reviews),Private,"Gurgaon,Haryana + 11 more",6 years old,201-500 Employees (India)
2698,Mann And Hummel ...,3.9,(191 Reviews),Private,"Schwieberdinger,Ludwigsburg + 7 more",80 years old,501-1k Employees (India)
2699,Petrofac Enginee...,3.7,(191 Reviews),Private,London + 10 more,19 years old,1k-5k Employees (India)
2700,Alcon,4.3,(191 Reviews),Public,"Fort Worth,Texas + 26 more",77 years old,1k-5k Employees (India)
2701,Kiswok Industrie...,3.3,(191 Reviews),Private,"Kolkata,West Bengal + 2 more",65 years old,51-200 Employees (India)
2702,Matrix Cellular ...,3.2,(191 Reviews),Private,Delhi + 18 more,27 years old,51-200 Employees (India)
2703,Grey Orange,3.9,(191 Reviews),Private,"Gurgaon,Haryana + 7 more",11 years old,501-1k Employees (India)
2704,Indium Software,4.1,(191 Reviews),Private,"Chennai,Tamil Nadu + 5 more",23 years old,1k-5k Employees (India)
2705,Yalamanchili Sof...,3.3,(191 Reviews),Public,Chennai + 10 more,21 years old,51-200 Employees (India)
2706,Inspirisys Solut...,3.9,(191 Reviews),Public,Chennai + 30 more,31 years old,1k-5k Employees (India)
2707,Juniper Networks,4.3,(191 Reviews),Private,"Sunnyvale,California + 3 more",26 years old,1k-5k Employees (India)
2708,Macquarie Group,3.9,(191 Reviews),Private,Sydney + 7 more,53 years old,51-200 Employees (India)
2709,ALTEN,3.7,(457 Reviews),Private,Paris + 9 more,34 years old,1k-5k Employees (India)
2710,LuLu Group Inter...,3.9,(346 Reviews),Private,"Abu Dhabi,Abu Dhabi + 23 more",56 years old,1k-5k Employees (India)
2711,Bank of Maharash...,3.5,(190 Reviews),Private,Pune + 44 more,87 years old,10k-50k Employees (India)
2712,ESAB,4.3,(190 Reviews),Public,"Chennai,Tamil Nadu + 17 more",35 years old,501-1k Employees (India)
2713,Tata ClassEdge,4.0,(190 Reviews),Public,"Mumbai,Maharashtra + 37 more",11 years old,501-1k Employees (India)
2714,Prione Business ...,4.3,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 23 more",8 years old,501-1k Employees (India)
2715,Monnet Group,4.1,(190 Reviews),Public,"Raipur,Chhattisgarh + 13 more",32 years old,501-1k Employees (India)
2716,Rail Vikas Nigam,4.1,(190 Reviews),Private,"Delhi/NCR,Delhi + 51 more",19 years old,501-1k Employees (India)
2717,McNROE,3.9,(190 Reviews),Private,Kolkata + 39 more,36 years old,501-1k Employees (India)
2718,Checkmate Servic...,4.2,(190 Reviews),Private,"Vadodara/Baroda,Gujrat + 47 more",30 years old,10k-50k Employees (India)
2719,Rheinmetall Auto...,4.1,(190 Reviews),Private,Neckarlsum + 13 more,113 years old,51-200 Employees (India)
2720,Aparna Enterpris...,4.2,(190 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 18 more",32 years old,501-1k Employees (India)
2721,Gyan Dairy,4.0,(190 Reviews),Private,"Lucknow,Uttar Pradesh + 13 more",15 years old,201-500 Employees (India)
2722,Huntsman Interna...,4.3,(190 Reviews),Private,Texas + 21 more,52 years old,501-1k Employees (India)
2723,Zovian Technolog...,4.9,(190 Reviews),Private,Bangalore + 2 more,6 years old,1-10 Employees (India)
2724,Sri Sri Tattva,3.8,(190 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 29 more",19 years old,201-500 Employees (India)
2725,L&T Water & Effl...,4.5,(190 Reviews),Chennai + 38 more,5k-10k Employees (India),,
2726,Bird Worldwide F...,3.7,(190 Reviews),Private,New Delhi + 7 more,23 years old,1k-5k Employees (India)
2727,Dun & Bradstreet,3.8,(190 Reviews),Private,"Short Hills,New Jersey + 11 more",181 years old,501-1k Employees (India)
2728,IIT Bombay,4.5,(190 Reviews),Public,"Mumbai,Maharashtra + 4 more",64 years old,501-1k Employees (India)
2729,LendingKart,3.5,(190 Reviews),Public,"Ahmedabad,Gujarat + 19 more",8 years old,201-500 Employees (India)
2730,Alembic,4.1,(2.2k Reviews),Vadodara + 25 more,,,
2731,Sumitomo Chemica...,4.2,(191 Reviews),Private,"Chuo City,Tokyo + 41 more",97 years old,201-500 Employees (India)
2732,LearningMate Sol...,4.0,(189 Reviews),Private,"Mumbai,Maharashtra + 2 more",21 years old,1k-5k Employees (India)
2733,RDC Concrete (In...,4.1,(189 Reviews),Private,"Mumbai,Maharashtra + 26 more",29 years old,501-1k Employees (India)
2734,Carrier Midea,4.0,(189 Reviews),Private,"Gurgaon/Gurugram,Haryana + 35 more",10 years old,501-1k Employees (India)
2735,e-Centric Soluti...,3.5,(189 Reviews),Private,Hyderabad + 29 more,20 years old,201-500 Employees (India)
2736,Jindal Aluminium,4.1,(189 Reviews),Public,"Bangalore/Bengaluru,Karnataka + 9 more",54 years old,1k-5k Employees (India)
2737,Ample Technologi...,3.9,(189 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 17 more",26 years old,501-1k Employees (India)
2738,Weblink In,4.0,(189 Reviews),Private,"New Delhi,Delhi + 4 more",25 years old,201-500 Employees (India)
2739,Corona Remedies,4.0,(189 Reviews),Private,Ahmedabad + 35 more,18 years old,501-1k Employees (India)
2740,Selec Controls,3.6,(189 Reviews),Private,"Mumbai,Maharashtra + 4 more",22 years old,501-1k Employees (India)
2741,Jay Chemical Ind...,4.0,(189 Reviews),Private,"Ahmedabad,Gujarat + 14 more",55 years old,1k-5k Employees (India)
2742,Vedanta Limited,4.0,(189 Reviews),Jharsuguda + 29 more,1k-5k Employees (India),,
2743,All India Instit...,4.4,(189 Reviews),Private,New Delhi + 18 more,66 years old,1k-5k Employees (India)
2744,Zf Wind Power,4.1,(189 Reviews),"Lommel,Belgium + 3 more",99 years old,1k-5k Employees (India),
2745,Eastman Chemical...,4.6,(189 Reviews),"Mumbai,Maharashtra + 2 more",72 years old,501-1k Employees (India),
2746,Jubilant Agri an...,4.1,(189 Reviews),Private,"Gurgaon/Gurugram,Haryana + 34 more",12 years old,201-500 Employees (India)
2747,Ichhapurti.com,2.4,(189 Reviews),Gurgaon/Gurugram + 22 more,,,
2748,Glenmark Life Sc...,3.7,(189 Reviews),Public,Mumbai + 10 more,45 years old,201-500 Employees (India)
2749,Pegasystems,3.8,(189 Reviews),Private,"Cambridge,Massachusetts + 3 more",39 years old,1k-5k Employees (India)
2750,Flyhomes,4.6,(210 Reviews),"Seattle,Washington + 7 more",7 years old,201-500 Employees (India),
2751,Rajasthan Patrik...,3.1,(188 Reviews),Private,"Jaipur,Rajasthan + 35 more",66 years old,1k-5k Employees (India)
2752,Adani Gas,3.8,(188 Reviews),Public,"Ahmedabad,Gujrat + 38 more",18 years old,201-500 Employees (India)
2753,Costa Cruise Lin...,4.5,(188 Reviews),Private,Genoa + 9 more,74 years old,51-200 Employees (India)
2754,Watertec India,4.3,(188 Reviews),Private,"Coimbatore,Tamil Nadu + 45 more",25 years old,1k-5k Employees (India)
2755,Metro Hospital &...,3.6,(188 Reviews),Noida + 14 more,25 years old,1k-5k Employees (Global),
2756,Al Ahleia Switch...,3.6,(188 Reviews),Private,Safat + 7 more,40 years old,1k-5k Employees (India)
2757,5paisa Capital,3.8,(188 Reviews),Public,"Thane,Maharashtra + 6 more",7 years old,501-1k Employees (India)
2758,Paper boat,4.0,(188 Reviews),"Bangalore,Karnataka + 35 more",9 years old,51-200 Employees (India),
2759,Akamai Technolog...,4.6,(188 Reviews),Private,"Cambridge,Massachusetts + 2 more",24 years old,1k-5k Employees (India)
2760,Dalmia-OCL,3.7,(188 Reviews),New Delhi + 27 more,6 years old,501-1k Employees (Global),
2761,Amentum,4.6,(188 Reviews),Dubai + 19 more,51-200 Employees (India),,
2762,Sub-K IMPACT Sol...,4.0,(188 Reviews),Private,Hyderabad + 58 more,12 years old,51-200 Employees (India)
2763,Secure Value,3.5,(188 Reviews),Private,"Mumbai,Maharashtra + 56 more",20 years old,10k-50k Employees (India)
2764,NBC Bearings,3.8,(188 Reviews),Public,"Jaipur,Rajasthan + 10 more",76 years old,1-10 Employees (India)
2765,L&T–MHI Power Bo...,4.1,(188 Reviews),Private,"Faridabad,Haryana + 13 more",16 years old,201-500 Employees (India)
2766,Testbook.com,3.7,(188 Reviews),Private,"Mumbai,Maharashtra + 12 more",8 years old,501-1k Employees (India)
